Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu1411,Otu1891,0.260578,0.026484,0.30567,0.260578,1
Otu1411,Otu1932,-0.294857,0.001344,0.092736,0.294857,1
Otu1411,Otu1985,0.205535,0.0495,0.344590504,0.205535,1
Otu1501,Otu1797,-0.16545,0.039816,0.333572859,0.16545,0
Otu1501,Otu1903,-0.197256,0.02748,0.306469877,0.197256,0
Otu1501,Otu1932,0.296988,0.008952,0.220381818,0.296988,1
Otu1661,Otu1840,0.200074,0.04199,0.333572859,0.200074,1
Otu1661,Otu1853,-0.17347,0.039288,0.333572859,0.17347,0
Otu1661,Otu1887,0.341477,0.003972,0.157937492,0.341477,1
Otu1661,Otu1891,-0.213669,0.020448,0.280275713,0.213669,1
Otu1661,Otu1900,-0.235546,0.007548,0.212815714,0.235546,1
Otu1661,Otu1907,-0.158909,0.031286,0.313662205,0.158909,0
Otu1661,Otu1932,0.216417,0.043356,0.335516459,0.216417,1
Otu1661,Otu1947,0.431875,2.40E-05,0.0037536,0.431875,2
Otu1661,Otu1957,0.224421,0.030048,0.310540123,0.224421,1
Otu1703,Otu1797,0.230991,0.025776,0.300848239,0.230991,1
Otu1703,Otu1897,-0.183854,0.014834,0.270171907,0.183854,0
Otu1703,Otu1937,0.237738,0.017856,0.275593263,0.237738,1
Otu1703,Otu1957,-0.17105,0.035748,0.332862345,0.17105,0
Otu1717,Otu1900,-0.182882,0.04332,0.335516459,0.182882,0
Otu1797,Otu1887,-0.199504,0.031608,0.314324237,0.199504,0
Otu1840,Otu1903,0.299728,0.005052,0.179575636,0.299728,1
Otu1840,Otu1917,0.19994,0.039206,0.333572859,0.19994,0
Otu1853,Otu1891,0.365564,0.004368,0.167988984,0.365564,1
Otu1853,Otu1895,-0.183311,0.039864,0.333572859,0.183311,0
Otu1853,Otu1917,-0.178945,0.039504,0.333572859,0.178945,0
Otu1853,Otu1937,-0.169837,0.047712,0.344126687,0.169837,0
Otu1853,Otu1985,0.259039,0.02202,0.281826,0.259039,1
Otu1858,Otu1900,-0.174823,0.025428,0.29827044,0.174823,0
Otu1887,Otu1900,-0.235312,0.021084,0.280275713,0.235312,1
Otu1887,Otu1903,-0.245127,0.01662,0.27441944,0.245127,1
Otu1887,Otu1907,-0.218046,0.016008,0.27441944,0.218046,1
Otu1887,Otu1932,0.344221,0.005736,0.188462,0.344221,1
Otu1891,Otu1900,0.228768,0.048636,0.344126687,0.228768,1
Otu1891,Otu1947,-0.248032,0.011172,0.233784,0.248032,1
Otu1891,Otu1985,0.375067,0.001944,0.126684,0.375067,1
Otu1897,Otu1899,-0.141763,0.04914,0.344126687,0.141763,0
Otu1897,Otu1937,-0.188179,0.012624,0.249878083,0.188179,0
Otu1899,Otu1932,-0.189099,0.027744,0.307016151,0.189099,0
Otu1899,Otu1985,0.199649,0.04908,0.344126687,0.199649,0
Otu1903,Otu1917,0.239888,0.022632,0.286998227,0.239888,1
Otu1947,Otu1957,0.23336,0.029172,0.310540123,0.23336,1
Otu0030,Otu0030,0,1,1,0,0
Otu0291,Otu0291,0,1,1,0,0
Otu0302,Otu0302,0,1,1,0,0
