Source,Target,Correlation,p.value,adjusted.p.value,weight,Correlation.strength
Otu0804,Otu0968,-0.2104,0.032412,0.2887144,0.2104,1
Otu0804,Otu1897,-0.189994,0.029748,0.284967184,0.189994,0
Otu0804,Otu1900,0.296765,0.020256,0.239504201,0.296765,1
Otu0805,Otu0809,0.289714,0.030888,0.2880336,0.289714,1
Otu0805,Otu0918,0.315287,0.017844,0.232526188,0.315287,1
Otu0805,Otu1149,-0.262608,0.006852,0.152711321,0.262608,1
Otu0805,Otu1887,-0.35519,0.003492,0.112227568,0.35519,1
Otu0805,Otu1900,0.304926,0.016644,0.229002526,0.304926,1
Otu0805,Otu1947,0.253458,0.038448,0.306799347,0.253458,1
Otu0809,Otu0817,-0.246259,0.037956,0.30498,0.246259,1
Otu0809,Otu1411,-0.209664,0.03102,0.2880336,0.209664,1
Otu0809,Otu1853,-0.224374,0.031272,0.2880336,0.224374,1
Otu0809,Otu1900,0.246794,0.041604,0.315867262,0.246794,1
Otu0809,Otu1947,0.268089,0.02873,0.282010795,0.268089,1
Otu0817,Otu1411,-0.283841,0.00834,0.165810508,0.283841,1
Otu0817,Otu1853,0.265994,0.036158,0.299740876,0.265994,1
Otu0817,Otu1887,-0.259838,0.032916,0.2887144,0.259838,1
Otu0817,Otu1891,0.292566,0.029318,0.284967184,0.292566,1
Otu0817,Otu1897,-0.241734,0.012228,0.19124592,0.241734,1
Otu0886,Otu0915,-0.184789,0.047784,0.327624,0.184789,0
Otu0886,Otu0967,0.207049,0.03809,0.30498,0.207049,1
Otu0886,Otu1149,0.221766,0.022296,0.252688,0.221766,1
Otu0886,Otu1853,0.231217,0.033732,0.2909385,0.231217,1
Otu0915,Otu0918,0.807393,0,0,0.807393,3
Otu0915,Otu0967,-0.29692,0.003156,0.108882,0.29692,1
Otu0915,Otu1411,-0.198037,0.0495,0.328361143,0.198037,0
Otu0915,Otu1891,-0.268756,0.030576,0.2880336,0.268756,1
Otu0915,Otu1895,-0.274769,0.009096,0.168267298,0.274769,1
Otu0918,Otu0945,-0.239185,0.0282,0.277971429,0.239185,1
Otu0918,Otu0967,-0.350814,0.000624,0.04838625,0.350814,1
Otu0918,Otu1149,-0.179852,0.045384,0.327624,0.179852,0
Otu0918,Otu1411,-0.213082,0.037764,0.30498,0.213082,1
Otu0918,Otu1858,-0.185009,0.04722,0.327624,0.185009,0
Otu0918,Otu1891,-0.235932,0.04818,0.327624,0.235932,1
Otu0918,Otu1895,-0.284417,0.006972,0.152862729,0.284417,1
Otu0918,Otu1900,0.23675,0.048072,0.327624,0.23675,1
Otu0918,Otu1915,-0.208547,0.040872,0.315815922,0.208547,1
Otu0918,Otu1985,-0.278448,0.01134,0.1847475,0.278448,1
Otu0945,Otu1858,0.294356,0.006732,0.152711321,0.294356,1
Otu0945,Otu1903,-0.215554,0.02544,0.266438571,0.215554,1
Otu0945,Otu1932,-0.191706,0.031742,0.288630744,0.191706,0
Otu0945,Otu1935,-0.408715,0,0,0.408715,2
Otu0967,Otu1900,-0.201936,0.022848,0.254551963,0.201936,1
Otu0967,Otu1985,0.219501,0.034776,0.292417548,0.219501,1
Otu0968,Otu1858,0.295473,0.005436,0.140450637,0.295473,1
Otu0968,Otu1903,-0.260861,0.006288,0.149290909,0.260861,1
Otu0968,Otu1907,-0.183153,0.026208,0.267261195,0.183153,0
Otu0968,Otu1932,-0.216434,0.015938,0.223895497,0.216434,1
Otu1109,Otu1717,-0.290223,0.00192,0.077298712,0.290223,1
Otu1404,Otu1887,-0.22762,0.034656,0.292417548,0.22762,1
Otu1404,Otu1903,0.273076,0.02118,0.245981584,0.273076,1
Otu1411,Otu1957,0.212628,0.048576,0.328361143,0.212628,1
Otu1501,Otu1891,-0.348905,0.00036,0.03128,0.348905,1
Otu1501,Otu1900,-0.193235,0.025824,0.267261195,0.193235,0
Otu1501,Otu1903,-0.24501,0.0072,0.1564,0.24501,1
Otu1501,Otu1935,-0.305052,0.000984,0.054963429,0.305052,1
Otu1501,Otu1947,-0.163294,0.043668,0.324193443,0.163294,0
Otu1661,Otu1703,-0.177938,0.03096,0.2880336,0.177938,0
Otu1661,Otu1797,-0.188483,0.025776,0.267261195,0.188483,0
Otu1661,Otu1899,-0.23093,0.009888,0.171396,0.23093,1
Otu1661,Otu1947,0.255612,0.020616,0.240622567,0.255612,1
Otu1703,Otu1932,-0.191269,0.026604,0.269021483,0.191269,0
Otu1703,Otu1935,-0.188848,0.034764,0.292417548,0.188848,0
Otu1703,Otu1957,-0.247907,0.007368,0.157139345,0.247907,1
Otu1717,Otu1858,0.277782,0.009348,0.168267298,0.277782,1
Otu1840,Otu1900,-0.2239,0.013872,0.205457143,0.2239,1
